"control_id","control_name","baseline","control_description","supplemental_guidance","purpose","scope","applicability","miscellaneous","section_header","source_file","extraction_source","compliance_date","published_url"
"SAR01.002","","","Access to CUI shall be logged and audit trails retained for a minimum of 3 years per the Records Retention Policy.","","This policy establishes the access control requirements for all information systems operated by the organization. The intent is to ensure that only authorized personnel can access sensitive data and systems in accordance with the principle of least privilege.","","This policy applies to all employees, contractors, and third-party personnel who access organizational information systems. For additional personnel categories, refer to Section 4 of this document.","","Appendix B - Revision History","Access_Control_Policy_POL-AC-2026-001.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Access_Control_Policy_POL-AC-2026-001.docx"
"SAR02.001","","","External connections to CUI systems require authorization from the ISSM. As previously stated in Section 3, all remote access must use the approved VPN. NIST AC-4 Term Definition Least Privilege The principle that users should be granted only the minimum access necessary to perform their job functions. MFA Multi-Factor Authentication. A security mechanism requiring two or more verification factors. RBAC Role-Based Access Control. Access permissions assigned based on organizational roles. CUI Controlled Unclassified Information. Information the Government creates or possesses that requires safeguarding. Version Date Author Changes 3.2 01/15/2026 J. Smith, CISO Added CUI supplementary requirements 3.1 07/01/2025 J. Smith, CISO Updated MFA requirements per new NIST guidance 3.0 01/15/2025 M. Johnson Major revision for FedRAMP alignment","","This policy establishes the access control requirements for all information systems operated by the organization. The intent is to ensure that only authorized personnel can access sensitive data and systems in accordance with the principle of least privilege.","","This policy applies to all employees, contractors, and third-party personnel who access organizational information systems. For additional personnel categories, refer to Section 4 of this document.","","NIST AC-4, AU-3","Access_Control_Policy_POL-AC-2026-001.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Access_Control_Policy_POL-AC-2026-001.docx"
"CFG01.001","","","Security Baseline Development The organization shall develop and maintain security configuration baselines for all system types (servers, workstations, network devices) based on CIS Benchmarks or DISA STIGs. CM-2 Implemented Security Engineering","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG01.002","","","Baseline Review Cycle Configuration baselines shall be reviewed and updated at least annually or when significant changes occur to the threat landscape. See the Continuous Monitoring Policy for threat assessment frequency. CM-2(1) Implemented Security Engineering","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG02.001","","","Change Control Process All configuration changes shall be submitted through the change advisory board (CAB) process. Emergency changes require post-implementation review within 48 hours. CM-3 Implemented Change Management","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG02.002","","","Change Impact Analysis Configuration changes shall include a documented security impact analysis prior to approval. Refer to Section 4 of this document for the impact analysis template. CM-4 Partially Implemented Security Engineering Control ID Title Description NIST Mapping Implementation Status Responsible Party","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG03.001","","","Automated Configuration Scanning Systems shall be scanned for configuration compliance at least weekly using automated tools. Non-compliant systems shall be flagged for remediation. CM-6 Implemented Security Operations","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG03.002","","","Configuration Drift Detection The organization shall deploy automated drift detection that alerts when system configurations deviate from the approved baseline. CM-3(5) Not Implemented Security Operations","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG04.001","","","Software Inventory Management The organization shall maintain an automated inventory of all installed software. Unauthorized software shall be removed within 72 hours of detection. CM-7 Partially Implemented Endpoint Management","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG04.002","","","Application Whitelisting Critical systems shall implement application whitelisting to prevent execution of unauthorized software. As previously stated, unauthorized software must be removed within 72 hours. CM-7(5) Not Implemented Endpoint Management Role Responsibilities CISO Approves configuration baselines. Authorizes exceptions. Reviews compliance reports quarterly. Security Engineering Develops and maintains baselines. Conducts security impact analyses. Refer to Section 2.1 for baseline development controls. Change Management Operates the CAB. Documents change requests. Tracks implementation status. Security Operations Executes configuration scans. Reports drift. Coordinates remediation with system owners. System Owners Maintain system compliance with baselines. Submit change requests. Respond to scan findings within SLA. Analysis Element Required Information Change Description Detailed technical description of the proposed change. Systems Affected List all systems, applications, and network segments impacted. Security Impact Assessment of how the change affects the security posture. Does it alter the baseline? Does it introduce new ports, protocols, or services? Rollback Plan Documented procedure to reverse the change if issues arise. Testing Results Evidence from test/staging environment. See the System Development Policy, Section 6 for testing requirements. Org Control ID NIST 800-53 CIS Control FedRAMP Baseline","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG01.001","","","CM-2 CIS 4.1 CM-2 (Moderate)","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG01.002","","","CM-2(1) CIS 4.2 CM-2(1) (Moderate)","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG02.001","","","CM-3 CIS 4.8 CM-3 (Moderate)","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG02.002","","","CM-4 CIS 4.8 CM-4 (Moderate)","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG03.001","","","CM-6 CIS 4.1 CM-6 (Moderate)","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG03.002","","","CM-3(5) CIS 4.3 CM-3(5) (High)","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG04.001","","","CM-7 CIS 2.1 CM-7 (Moderate)","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"CFG04.002","","","CM-7(5) CIS 2.6 CM-7(5) (High)","","Policy Purpose This document establishes the configuration management requirements for all information systems and network devices operated by the organization. Configuration management ensures that systems remain in a known, secure state throughout their lifecycle.","Policy Scope","This policy applies to all servers, workstations, network devices, cloud instances, and mobile devices. Refer to Section 4 of the Asset Management Policy for the complete asset inventory that defines the systems in scope.","","Appendix - Framework Crosswalk","Configuration_Management_Policy_POL-CM-2026-004.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Configuration_Management_Policy_POL-CM-2026-004.docx"
"MON01.001","Authenticated Vulnerability Scanning","","Requirement: All systems shall undergo authenticated vulnerability scanning at minimum weekly for internet-facing systems and bi-weekly for internal systems. Scanning shall use an approved tool from Appendix B. Scans shall be credentialed to ensure complete coverage of installed software and configurations. Unauthenticated scans are not sufficient to satisfy this control. Scan schedules shall be documented in the system security plan (SSP). NIST Mapping: RA-5, RA-5(5) Status: Implemented Owner: Security Operations","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Section 3 - Vulnerability Management Controls","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON01.002","Vulnerability Remediation SLAs","","Requirement: Identified vulnerabilities shall be remediated within the following SLAs based on CVSS score: Critical (CVSS 9.0-10.0) within 15 calendar days; High (CVSS 7.0-8.9) within 30 days; Medium (CVSS 4.0-6.9) within 90 days; Low (CVSS 0.1-3.9) within 180 days. Exceptions require ISSM approval and a compensating control documented in a POA&M entry per the Risk Management Policy, RMP03.001. See Appendix A for the severity matrix. NIST Mapping: RA-5(6), SI-2 Status: Implemented Owner: System Owners / Security Ops","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Section 3 - Vulnerability Management Controls","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON02.001","SIEM Log Ingestion and Correlation","","Requirement: All systems, network devices, and applications within the ATO boundary shall forward security-relevant logs to the organizational SIEM in real time or near-real-time (maximum 5-minute delay). Log format shall conform to the standards in Appendix C. The SOC shall validate log ingestion completeness daily. Gaps in log ingestion for critical systems shall generate a P2 alert per the Incident Response Policy, IRP02.001. NIST Mapping: AU-2, AU-9, SI-4 Status: Implemented Owner: SOC / Security Engineering","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Section 4 - Log Management Controls","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON02.002","Log Retention Requirements","","Requirement: Security logs shall be retained for a minimum of 12 months online (immediately accessible) and 36 months total (per the Records Retention Policy and NIST AU-11 requirements). CUI-system logs require the full 36-month accessible retention with no offline-only period permitted. Log storage capacity shall be reviewed quarterly. Storage approaching 80% capacity shall trigger an immediate expansion request per the Change Management process in CFG02.001. NIST Mapping: AU-11 Status: Implemented Owner: SOC / IT Operations","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Section 4 - Log Management Controls","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Text","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
"MON03.001","","","FISMA Metrics Collection The ISSO shall collect and report the six FISMA CIO metrics monthly: vulnerability management, identity management, data protection, network security, secure software lifecycle, and configuration management. Metric definitions and data sources are documented in Appendix D. PM-6 Implemented ISSO","","Static, point-in-time security assessments are insufficient for federal systems operating in a dynamic threat environment. The intent of this policy is to establish monitoring as a continuous operational function that supports timely detection of threats, configuration drift, and compliance deviations. Monitoring data shall directly inform risk register updates per the Risk Management Policy (POL-RM-2026-009), Control RMP02.001. This policy supports FISMA continuous monitoring requirements, OMB M-22-09 Zero Trust visibility requirements, and CDM program dashboard reporting obligations.","This policy establishes the continuous monitoring requirements for all organizational information systems. It defines the frequency, scope, and response procedures for ongoing security assessments, vulnerability scanning, log analysis, and security metrics reporting. Continuous monitoring supports ongoing authorization and provides the ISSM and AO with near-real-time visibility into the security posture of organizational systems. This policy implements NIST SP 800-137 Information Security Continuous Monitoring guidance. For current CDM program requirements applicable to federal agencies, see CISA Continuous Diagnostics and Mitigation program.","This policy applies to all organizational information systems operating under an Authority to Operate (ATO). It applies to system owners, ISSOs, the Security Operations Center, and all personnel with monitoring or logging responsibilities. Cloud service providers handling organizational data are subject to the monitoring requirements defined in their FedRAMP authorization boundaries.","","Appendix E - Revision History","Continuous_Monitoring_Policy_POL-MON-2026-005.docx","Table","","https://contoso.sharepoint.com/sites/Policies/Shared Documents/Continuous_Monitoring_Policy_POL-MON-2026-005.docx"
