control_id,control_name,family,family_name,description,supplemental_guidance,baseline,purpose,scope,applicability,compliance_date,published_url,source,rag_content
CM-1,Policy and Procedures,CM,Configuration Management,"Develop, document, and disseminate a configuration management policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the configuration management policy and the associated controls.",Configuration management policy and procedures address the controls in the CM family. The risk management strategy informs the development of the policy and procedures.,,,,,,,Control Catalog,"Control CM-1: Policy and Procedures
Family: Configuration Management

Description:
Develop, document, and disseminate a configuration management policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the configuration management policy and the associated controls.

Supplemental Guidance:
Configuration management policy and procedures address the controls in the CM family. The risk management strategy informs the development of the policy and procedures."
CM-6,Configuration Settings,CM,Configuration Management,"Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements.
Implement the configuration settings and identify, document, and approve any deviations from established settings.","Configuration settings are the parameters that can be changed in hardware, software, or firmware components that affect the security and privacy posture of a system. Security-related parameters are those parameters impacting the security state of systems including the parameters required to satisfy other controls.
Organizations establish organization-wide configuration settings and subsequently derive specific configuration settings for systems.",,,,,,,Control Catalog,"Control CM-6: Configuration Settings
Family: Configuration Management

Description:
Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements.
Implement the configuration settings and identify, document, and approve any deviations from established settings.

Supplemental Guidance:
Configuration settings are the parameters that can be changed in hardware, software, or firmware components that affect the security and privacy posture of a system. Security-related parameters are those parameters impacting the security state of systems including the parameters required to satisfy other controls.
Organizations establish organization-wide configuration settings and subsequently derive specific configuration settings for systems."
IA-1,Policy and Procedures,IA,Identification and Authentication,"Develop, document, and disseminate an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the identification and authentication policy and the associated controls.",Identification and authentication policy and procedures address the controls in the IA family. The risk management strategy is a key factor in the development of the policy and procedures.,,,,,,,Control Catalog,"Control IA-1: Policy and Procedures
Family: Identification and Authentication

Description:
Develop, document, and disseminate an identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the identification and authentication policy and the associated controls.

Supplemental Guidance:
Identification and authentication policy and procedures address the controls in the IA family. The risk management strategy is a key factor in the development of the policy and procedures."
IA-2,Identification and Authentication (Organizational Users),IA,Identification and Authentication,"Uniquely identify and authenticate organizational users, and associate that unique identification with processes acting on behalf of those users.","Organizations can satisfy the identification and authentication requirements by complying with the requirements in HSPD-12. Organizational users include employees, contractors, or individuals deemed to have equivalent status.
Unique identification of individuals in group accounts may be needed for detailed accountability of individual activity.",,,,,,,Control Catalog,"Control IA-2: Identification and Authentication (Organizational Users)
Family: Identification and Authentication

Description:
Uniquely identify and authenticate organizational users, and associate that unique identification with processes acting on behalf of those users.

Supplemental Guidance:
Organizations can satisfy the identification and authentication requirements by complying with the requirements in HSPD-12. Organizational users include employees, contractors, or individuals deemed to have equivalent status.
Unique identification of individuals in group accounts may be needed for detailed accountability of individual activity."
IR-1,Policy and Procedures,IR,Incident Response,"Develop, document, and disseminate an incident response policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the incident response policy and the associated controls.",Incident response policy and procedures address the controls in the IR family. Policy can be included as part of the general security and privacy policy.,,,,,,,Control Catalog,"Control IR-1: Policy and Procedures
Family: Incident Response

Description:
Develop, document, and disseminate an incident response policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the incident response policy and the associated controls.

Supplemental Guidance:
Incident response policy and procedures address the controls in the IR family. Policy can be included as part of the general security and privacy policy."
IR-4,Incident Handling,IR,Incident Response,"Implement an incident handling capability for incidents that includes preparation, detection and analysis, containment, eradication, and recovery.
Coordinate incident handling activities with contingency planning activities and incorporate lessons learned from ongoing incident handling into procedures and training.","Organizations recognize that incident response capabilities are dependent on the capabilities of systems and the mission and business processes being supported. Incident-related information can be obtained from a variety of sources including audit monitoring, physical access monitoring, and network monitoring.",,,,,,,Control Catalog,"Control IR-4: Incident Handling
Family: Incident Response

Description:
Implement an incident handling capability for incidents that includes preparation, detection and analysis, containment, eradication, and recovery.
Coordinate incident handling activities with contingency planning activities and incorporate lessons learned from ongoing incident handling into procedures and training.

Supplemental Guidance:
Organizations recognize that incident response capabilities are dependent on the capabilities of systems and the mission and business processes being supported. Incident-related information can be obtained from a variety of sources including audit monitoring, physical access monitoring, and network monitoring."
RA-1,Policy and Procedures,RA,Risk Assessment,"Develop, document, and disseminate a risk assessment policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the risk assessment policy and the associated controls.",Risk assessment policy and procedures address the controls in the RA family. The risk management strategy informs the development of the risk assessment policy.,,,,,,,Control Catalog,"Control RA-1: Policy and Procedures
Family: Risk Assessment

Description:
Develop, document, and disseminate a risk assessment policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the risk assessment policy and the associated controls.

Supplemental Guidance:
Risk assessment policy and procedures address the controls in the RA family. The risk management strategy informs the development of the risk assessment policy."
RA-5,Vulnerability Monitoring and Scanning,RA,Risk Assessment,"Monitor and scan for vulnerabilities in the system and hosted applications at an organization-defined frequency and when new vulnerabilities potentially affecting the system are identified.
Employ vulnerability monitoring tools and techniques that facilitate interoperability among tools. Analyze vulnerability scan reports and results from vulnerability monitoring.","Organizations determine the required vulnerability scanning for all system components, including potential vulnerabilities in scanning activities themselves. Vulnerability analysis includes consideration of trend data from security advisories, vulnerability databases, and other sources of vulnerability information.",,,,,,,Control Catalog,"Control RA-5: Vulnerability Monitoring and Scanning
Family: Risk Assessment

Description:
Monitor and scan for vulnerabilities in the system and hosted applications at an organization-defined frequency and when new vulnerabilities potentially affecting the system are identified.
Employ vulnerability monitoring tools and techniques that facilitate interoperability among tools. Analyze vulnerability scan reports and results from vulnerability monitoring.

Supplemental Guidance:
Organizations determine the required vulnerability scanning for all system components, including potential vulnerabilities in scanning activities themselves. Vulnerability analysis includes consideration of trend data from security advisories, vulnerability databases, and other sources of vulnerability information."
SC-1,Policy and Procedures,SC,System and Communications Protection,"Develop, document, and disseminate a system and communications protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the system and communications protection policy and the associated controls.",System and communications protection policy and procedures address the controls in the SC family. Policy can be included as part of the general security and privacy policy.,,,,,,,Control Catalog,"Control SC-1: Policy and Procedures
Family: System and Communications Protection

Description:
Develop, document, and disseminate a system and communications protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance.
Develop procedures to facilitate the implementation of the system and communications protection policy and the associated controls.

Supplemental Guidance:
System and communications protection policy and procedures address the controls in the SC family. Policy can be included as part of the general security and privacy policy."
SC-7,Boundary Protection,SC,System and Communications Protection,"Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces.
Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.
Connect to external networks or systems only through managed interfaces consisting of boundary protection devices.","Managed interfaces include gateways, routers, firewalls, guards, network-based malicious code analysis, virtualization systems, or encrypted tunnels implemented within a security architecture.
Restricting external web traffic only to organizational web servers within managed interfaces and prohibiting external traffic that appears to be spoofing internal addresses are examples of restricting and prohibiting communications.",,,,,,,Control Catalog,"Control SC-7: Boundary Protection
Family: System and Communications Protection

Description:
Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces.
Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.
Connect to external networks or systems only through managed interfaces consisting of boundary protection devices.

Supplemental Guidance:
Managed interfaces include gateways, routers, firewalls, guards, network-based malicious code analysis, virtualization systems, or encrypted tunnels implemented within a security architecture.
Restricting external web traffic only to organizational web servers within managed interfaces and prohibiting external traffic that appears to be spoofing internal addresses are examples of restricting and prohibiting communications."
